          *date       Overpass      wb_1st_00      wb_1st_01      wb_1st_05      wb_2nd_00      wb_2nd_01      wb_2nd_05     percent_cb           wwml          wwmax      max_wskew          wstar        wspd_cb   max_duration  mean_duration        num_cld     num_cld_30 min_ww_percent   LCL_mean_met      Hcb_vceil
       20111007           2000         0.7260         0.7840         1.0420         1.0930         1.0980         1.2210        67.0770         0.9680         1.4040         0.6537         1.9851        14.5080      1519.0000       348.0833        12.0000         6.0000        93.3661         1.5100         1.3850
       20111019           2000         0.8990         0.9740         1.2610         1.4950         1.5010         1.6200         5.4120         1.6380         2.5450         1.9383         2.4898        10.8080       112.0000        32.9091        11.0000         4.0000        64.6905         2.0910         1.9250
       20120111           2000         0.4450         0.5540         1.0280         0.9450         0.9640         1.2560        93.0270         0.5940         0.6630         0.9326         1.4080        16.6830      2578.0000      1713.0000         3.0000         3.0000        93.0887         0.8540         0.8320
       20120131           1630         0.6300         0.7220         1.1480         1.1660         1.1770         1.3870        44.9740         0.3240         0.3860         0.8962         0.9731         9.2800      1370.0000       181.9333        15.0000         8.0000        92.1842         0.7760         0.7110
       20120204           2000         0.4920         0.5770         0.9310         0.8770         0.8890         1.1000        59.6860         0.5000         0.5140         0.6084         1.3444        11.5580      2628.0000      1285.5000         4.0000         3.0000        93.5366         0.5740         0.6220
       20120210           1630         0.8700         0.9660         1.3410         1.5590         1.5670         1.7220        54.5090         0.8920         0.9700         1.2247         1.4367        12.8990      1279.0000       207.2667        15.0000         7.0000        93.7829         0.4600         0.7600
       20120210           2000         0.5770         0.6600         1.0120         1.0070         1.0170         1.2100        71.9030         0.7240         0.7840         0.7899         1.4853        12.4430      2644.0000       592.8571         7.0000         6.0000        93.4811         0.6800         0.7200
       20120306           2100         0.9050         0.9570         1.2130         1.3670         1.3710         1.4750         9.0050         1.0100         1.2040         1.0985         1.4909        18.8930       138.0000        26.0435        23.0000         5.0000        93.2209         1.3480         1.2130
       20120307           1900         0.8320         0.9030         1.2170         1.3350         1.3410         1.4700        13.3180         0.9260         1.1620         0.9425         1.1630        20.8040       166.0000        36.8182        22.0000         7.0000        93.2499         1.0730         0.9470
       20120314           1630         0.8110         0.8760         1.1550         1.2590         1.2650         1.3840        60.7670         0.5900         0.5370         0.2983         0.7965        13.4360      2251.0000       544.5000         8.0000         8.0000        90.9674         0.5910         0.4980
       20120315           2030         0.6680         0.7450         1.0550         1.0900         1.0980         1.2460        35.0200         0.6300         0.7760         0.5738      -999.0000        12.2660       217.0000        61.3714        35.0000        23.0000        93.3248         1.1320         1.0250
       20120323           2000         0.6720         0.7480         1.1490         1.1900         1.1990         1.3840        11.7050         0.5790         0.8330         1.0143         1.7903         4.5040       106.0000        39.5909        22.0000        10.0000        89.2725         1.0980         0.9470
       20120328           1930         0.8190         0.9070         1.1860         1.2840         1.2910         1.4040        10.1370         0.7270         0.8440         0.7877      -999.0000         8.9980       100.0000        41.6875        16.0000        10.0000        93.2312         1.2650         1.0860
       20120331           1800         0.6490         0.7450         1.1300         1.1790         1.1890         1.3690        13.1430         0.8500         0.9640         1.1583         1.1554         4.3750       146.0000        48.5000        20.0000        11.0000        93.1491         1.2280         0.9140
       20120404           2000         0.7660         0.8620         1.2410         1.3660         1.3740         1.5410        61.8610         0.7180         0.8310         1.0801         1.3820         6.5620       654.0000       188.5789        19.0000        16.0000        93.1904         0.8500         0.9160
       20120409           2000         0.6540         0.7460         1.1670         1.2550         1.2660         1.4840        38.3260         0.7650         0.9140         1.2027         1.4777         5.6490      1318.0000       182.0769        13.0000        10.0000        93.2147         1.1460         1.0620
       20120413           1730         0.8250         0.8980         1.1990         1.3600         1.3660         1.4970        24.6970         0.7360         0.8670         0.7696           -NaN         6.9100       244.0000        52.0000        31.0000        17.0000        93.1908           -NaN         0.8600
       20120419           2000         0.5330         0.5950         0.9170         0.8710         0.8780         1.0710        17.4140         0.7250         1.0060         0.7724         1.2004        11.4640       397.0000        65.8824        17.0000        10.0000        93.1913         1.4500         1.4500
       20120420           2000         0.8370         0.9250         1.2780         1.5050         1.5130         1.6680        51.4430         0.9120         1.1570         0.9949         1.9818         7.8700       835.0000       147.3636        22.0000        16.0000        93.2073         1.1580         1.0450
       20120430           2030         0.8250         0.9060         1.2370         1.3970         1.4040         1.5420        33.2880         0.8490         1.1400         1.3852         1.3573         5.9510       299.0000        75.9259        27.0000        16.0000        93.2050         0.9720         0.9480
       20120502           2000         0.8060         0.8870         1.2170         1.3660         1.3730         1.5160        44.5990         0.7360         0.8530         0.9824         1.6462        12.9620      1172.0000       100.4444        27.0000        17.0000        93.1038         1.0920         0.9770
       20120509           1930         0.9230         1.0100         1.4250         1.5700         1.5760         1.7220         4.9090         1.4270         1.9280         1.6020         2.3602         3.3060        84.0000        48.1429         7.0000         5.0000        68.6280         2.2200         2.1960
       20120513           2200         1.2860         1.3750         1.6970         2.0600         2.0650         2.1540        35.5380         1.2840         1.8080         1.1441         1.8030         2.9410       768.0000       290.5555         9.0000         7.0000        91.6627         1.9890         1.8800
       20120519           2000         0.8260         0.9060         1.2410         1.4620         1.4700         1.6240        37.0720         1.2980         1.6660         0.9931         2.3819        14.2890       708.0000        95.6800        25.0000        16.0000        93.1687         1.7510         1.5150
       20120610           1959         0.9240         1.0050         1.3490         1.6010         1.6080         1.7480        21.4640         1.3490         1.7510         1.0377         2.6671         9.3510       324.0000        60.0800        25.0000        12.0000        93.2889         2.0170         1.5530
       20120613           1930         0.7370         0.8130         1.1340         1.2220         1.2280         1.3790         4.0280         1.7470         2.6000         1.2061         2.8945         1.0140       122.0000        36.7500         8.0000         5.0000        63.5984         2.1920         1.6790
       20120616           1900         0.8540         0.9390         1.2680         1.4350         1.4420         1.5770        20.0560         1.0730         1.3520         0.9235         2.1446         5.0210       272.0000        73.1667        18.0000        12.0000        93.1245         1.3650         1.0500
       20120619           2230         1.0490         1.1160         1.4140         1.7460         1.7500         1.8590         6.8680         1.8040         2.5820         1.1940         2.3384        18.9510        60.0000        23.8947        19.0000         5.0000        90.4386         2.0610         1.6540
       20120620           1900         0.7550         0.8610         1.3360         1.5690         1.5810         1.8110        50.4220         1.2850         1.6940         1.1410         2.4708        13.6500       909.0000       138.4091        22.0000        12.0000        93.2179         1.7210         1.2520
       20120702           1946         1.1840         1.2850         1.6660         2.1000         2.1060         2.2270        24.3020         2.3160         3.3750         1.3956         2.8025         8.9820       314.0000        85.2273        22.0000        17.0000        92.1206         2.4680         1.8440
       20120703           1927         1.3920         1.4730         1.7780         2.3310         2.3340         2.4230         9.1630         1.8060         2.7080         2.2042         2.9557         8.3650       174.0000        61.0000        10.0000         5.0000        89.9896         2.6200         2.0430
       20120704           1930         1.2500         1.3320         1.6360         1.9970         2.0020         2.0930        16.0820         2.6060         3.4210         1.9557         2.9336         2.8100       152.0000        62.5000        18.0000        13.0000        78.2902         2.8440         2.2230
       20120705           1849         1.4420         1.5540         1.9730         2.7090         2.7150         2.8360        22.0230         1.9430         2.6960         1.9245         2.9793         6.2810       307.0000       107.6000        15.0000        11.0000        78.9016         2.8790         2.2110
       20120706           1800         1.7660         1.8550         2.2460         3.2220         3.2250         3.3250         5.0850         2.0610         2.9470         2.6068         3.1417         7.4370       192.0000        58.3333         6.0000         2.0000        43.1361         3.2970         2.5960
       20120709           1915         1.1030         1.2070         1.5510         1.9230         1.9290         2.0430        13.2070         1.3160         1.6500         1.6551         2.4371         5.0440       517.0000       112.0000        10.0000         8.0000        93.3108         2.2300         1.6410
